arithmetic_algebra,
mode,"sentential"
types,"integer,real,formula,proof"
tokens,"= : integer * integer -> formula, < : integer * integer -> formula, > : integer * integer -> formula, divides : integer * integer -> formula , + : integer * integer -> integer, - : integer * integer -> integer, * : integer * integer -> integer, \div integer * integer -> integer, ^ integer * integer -> integer, \sum : set * (set -> integer) -> integer, \vee : formula * formula -> formula, \neg : formula -> formula"
patterns,"_:integer=_:integer"
token_imports,"base_10_real_numerals,latin_alphabet"
grammatical_complexity,type-2
facts,"$+associative, $+commutative, *associative, $*commutative, $+zero, $cancellative, $distributive, $<transitive, $<antisymmetric, $+def, $*def, $-def, $\div_def, $divides_def"
rigorous,TRUE
fact_imports,NONE
tactics,"rewrite,lemma,calc,induction"
inferential_complexity,2
physical_dimension_use,"X:{grammatical;inferential}, Y:{inferential},  colour:{}"
